# openbim.ifc direct-structural-catalog v1
schema	IFC2X3_TC1	653	327
entity	IfcMaterialProperties	-	Material
entity	IfcMeasureWithUnit	-	ValueComponent,UnitComponent
entity	IfcMechanicalConcreteMaterialProperties	IfcMechanicalMaterialProperties	CompressiveStrength,MaxAggregateSize,AdmixturesDescription,Workability,ProtectivePoreRatio,WaterImpermeability
entity	IfcMechanicalFastener	IfcFastener	NominalDiameter,NominalLength
entity	IfcMechanicalFastenerType	IfcFastenerType	-
entity	IfcMechanicalMaterialProperties	IfcMaterialProperties	DynamicViscosity,YoungModulus,ShearModulus,PoissonRatio,ThermalExpansionCoefficient
entity	IfcMechanicalSteelMaterialProperties	IfcMechanicalMaterialProperties	YieldStress,UltimateStress,UltimateStrain,HardeningModule,ProportionalStress,PlasticStrain,Relaxations
entity	IfcMember	IfcBuildingElement	-
entity	IfcMemberType	IfcBuildingElementType	PredefinedType
entity	IfcMetric	IfcConstraint	Benchmark,ValueSource,DataValue
entity	IfcMonetaryUnit	-	Currency
entity	IfcMotorConnectionType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcMove	IfcTask	MoveFrom,MoveTo,PunchList
entity	IfcNamedUnit	-	Dimensions,UnitType
entity	IfcObject	IfcObjectDefinition	ObjectType
entity	IfcObjectDefinition	IfcRoot	-
entity	IfcObjectPlacement	-	-
entity	IfcObjective	IfcConstraint	BenchmarkValues,ResultValues,ObjectiveQualifier,UserDefinedQualifier
entity	IfcOccupant	IfcActor	PredefinedType
entity	IfcOffsetCurve2D	IfcCurve	BasisCurve,Distance,SelfIntersect
entity	IfcOffsetCurve3D	IfcCurve	BasisCurve,Distance,SelfIntersect,RefDirection
entity	IfcOneDirectionRepeatFactor	IfcGeometricRepresentationItem	RepeatFactor
entity	IfcOpenShell	IfcConnectedFaceSet	-
entity	IfcOpeningElement	IfcFeatureElementSubtraction	-
entity	IfcOpticalMaterialProperties	IfcMaterialProperties	VisibleTransmittance,SolarTransmittance,ThermalIrTransmittance,ThermalIrEmissivityBack,ThermalIrEmissivityFront,VisibleReflectanceBack,VisibleReflectanceFront,SolarReflectanceFront,SolarReflectanceBack
entity	IfcOrderAction	IfcTask	ActionID
entity	IfcOrganization	-	Id,Name,Description,Roles,Addresses
entity	IfcOrganizationRelationship	-	Name,Description,RelatingOrganization,RelatedOrganizations
entity	IfcOrientedEdge	IfcEdge	EdgeElement,Orientation
entity	IfcOutletType	IfcFlowTerminalType	PredefinedType
entity	IfcOwnerHistory	-	OwningUser,OwningApplication,State,ChangeAction,LastModifiedDate,LastModifyingUser,LastModifyingApplication,CreationDate
entity	IfcParameterizedProfileDef	IfcProfileDef	Position
entity	IfcPath	IfcTopologicalRepresentationItem	EdgeList
entity	IfcPerformanceHistory	IfcControl	LifeCyclePhase
entity	IfcPermeableCoveringProperties	IfcPropertySetDefinition	OperationType,PanelPosition,FrameDepth,FrameThickness,ShapeAspectStyle
entity	IfcPermit	IfcControl	PermitID
entity	IfcPerson	-	Id,FamilyName,GivenName,MiddleNames,PrefixTitles,SuffixTitles,Roles,Addresses
entity	IfcPersonAndOrganization	-	ThePerson,TheOrganization,Roles
entity	IfcPhysicalComplexQuantity	IfcPhysicalQuantity	HasQuantities,Discrimination,Quality,Usage
entity	IfcPhysicalQuantity	-	Name,Description
entity	IfcPhysicalSimpleQuantity	IfcPhysicalQuantity	Unit
entity	IfcPile	IfcBuildingElement	PredefinedType,ConstructionType
entity	IfcPipeFittingType	IfcFlowFittingType	PredefinedType
