# openbim.ifc structural-catalog v1
schema	IFC4X3_ADD2	876	436
entity	IfcBSplineSurfaceWithKnots	IfcBSplineSurface,IfcBoundedSurface,IfcSurface,IfcGeometricRepresentationItem,IfcRepresentationItem	UDegree,VDegree,ControlPointsList,SurfaceForm,UClosed,VClosed,SelfIntersect,UMultiplicities,VMultiplicities,UKnots,VKnots,KnotSpec
entity	IfcBeam	IfcBuiltElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcBeamType	IfcBuiltElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcBearing	IfcBuiltElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcBearingType	IfcBuiltElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcBlobTexture	IfcSurfaceTexture,IfcPresentationItem	RepeatS,RepeatT,Mode,TextureTransform,Parameter,RasterFormat,RasterCode
entity	IfcBlock	IfcCsgPrimitive3D,IfcGeometricRepresentationItem,IfcRepresentationItem	Position,XLength,YLength,ZLength
entity	IfcBoiler	IfcEnergyConversionDevice,IfcDistributionFlowElement,IfcDistributionElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcBoilerType	IfcEnergyConversionDeviceType,IfcDistributionFlowElementType,IfcDistributionElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcBooleanClippingResult	IfcBooleanResult,IfcGeometricRepresentationItem,IfcRepresentationItem	Operator,FirstOperand,SecondOperand
entity	IfcBooleanResult	IfcGeometricRepresentationItem,IfcRepresentationItem	Operator,FirstOperand,SecondOperand
entity	IfcBorehole	IfcGeotechnicalAssembly,IfcGeotechnicalElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag
entity	IfcBoundaryCondition	-	Name
entity	IfcBoundaryCurve	IfcCompositeCurveOnSurface,IfcCompositeCurve,IfcBoundedCurve,IfcCurve,IfcGeometricRepresentationItem,IfcRepresentationItem	Segments,SelfIntersect
entity	IfcBoundaryEdgeCondition	IfcBoundaryCondition	Name,TranslationalStiffnessByLengthX,TranslationalStiffnessByLengthY,TranslationalStiffnessByLengthZ,RotationalStiffnessByLengthX,RotationalStiffnessByLengthY,RotationalStiffnessByLengthZ
entity	IfcBoundaryFaceCondition	IfcBoundaryCondition	Name,TranslationalStiffnessByAreaX,TranslationalStiffnessByAreaY,TranslationalStiffnessByAreaZ
entity	IfcBoundaryNodeCondition	IfcBoundaryCondition	Name,TranslationalStiffnessX,TranslationalStiffnessY,TranslationalStiffnessZ,RotationalStiffnessX,RotationalStiffnessY,RotationalStiffnessZ
entity	IfcBoundaryNodeConditionWarping	IfcBoundaryNodeCondition,IfcBoundaryCondition	Name,TranslationalStiffnessX,TranslationalStiffnessY,TranslationalStiffnessZ,RotationalStiffnessX,RotationalStiffnessY,RotationalStiffnessZ,WarpingStiffness
entity	IfcBoundedCurve	IfcCurve,IfcGeometricRepresentationItem,IfcRepresentationItem	-
entity	IfcBoundedSurface	IfcSurface,IfcGeometricRepresentationItem,IfcRepresentationItem	-
entity	IfcBoundingBox	IfcGeometricRepresentationItem,IfcRepresentationItem	Corner,XDim,YDim,ZDim
entity	IfcBoxedHalfSpace	IfcHalfSpaceSolid,IfcGeometricRepresentationItem,IfcRepresentationItem	BaseSurface,AgreementFlag,Enclosure
entity	IfcBridge	IfcFacility,IfcSpatialStructureElement,IfcSpatialElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,LongName,CompositionType,PredefinedType
entity	IfcBridgePart	IfcFacilityPart,IfcSpatialStructureElement,IfcSpatialElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,LongName,CompositionType,UsageType,PredefinedType
entity	IfcBuilding	IfcFacility,IfcSpatialStructureElement,IfcSpatialElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,LongName,CompositionType,ElevationOfRefHeight,ElevationOfTerrain,BuildingAddress
entity	IfcBuildingElementPart	IfcElementComponent,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcBuildingElementPartType	IfcElementComponentType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcBuildingElementProxy	IfcBuiltElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcBuildingElementProxyType	IfcBuiltElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcBuildingStorey	IfcSpatialStructureElement,IfcSpatialElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,LongName,CompositionType,Elevation
entity	IfcBuildingSystem	IfcSystem,IfcGroup,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,PredefinedType,LongName
entity	IfcBuiltElement	IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag
