# openbim.ifc direct-structural-catalog v1
schema	IFC4_ADD2_TC1	776	397
entity	IfcCompositeProfileDef	IfcProfileDef	Profiles,Label
entity	IfcCompressor	IfcFlowMovingDevice	PredefinedType
entity	IfcCompressorType	IfcFlowMovingDeviceType	PredefinedType
entity	IfcCondenser	IfcEnergyConversionDevice	PredefinedType
entity	IfcCondenserType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcConic	IfcCurve	Position
entity	IfcConnectedFaceSet	IfcTopologicalRepresentationItem	CfsFaces
entity	IfcConnectionCurveGeometry	IfcConnectionGeometry	CurveOnRelatingElement,CurveOnRelatedElement
entity	IfcConnectionGeometry	-	-
entity	IfcConnectionPointEccentricity	IfcConnectionPointGeometry	EccentricityInX,EccentricityInY,EccentricityInZ
entity	IfcConnectionPointGeometry	IfcConnectionGeometry	PointOnRelatingElement,PointOnRelatedElement
entity	IfcConnectionSurfaceGeometry	IfcConnectionGeometry	SurfaceOnRelatingElement,SurfaceOnRelatedElement
entity	IfcConnectionVolumeGeometry	IfcConnectionGeometry	VolumeOnRelatingElement,VolumeOnRelatedElement
entity	IfcConstraint	-	Name,Description,ConstraintGrade,ConstraintSource,CreatingActor,CreationTime,UserDefinedGrade
entity	IfcConstructionEquipmentResource	IfcConstructionResource	PredefinedType
entity	IfcConstructionEquipmentResourceType	IfcConstructionResourceType	PredefinedType
entity	IfcConstructionMaterialResource	IfcConstructionResource	PredefinedType
entity	IfcConstructionMaterialResourceType	IfcConstructionResourceType	PredefinedType
entity	IfcConstructionProductResource	IfcConstructionResource	PredefinedType
entity	IfcConstructionProductResourceType	IfcConstructionResourceType	PredefinedType
entity	IfcConstructionResource	IfcResource	Usage,BaseCosts,BaseQuantity
entity	IfcConstructionResourceType	IfcTypeResource	BaseCosts,BaseQuantity
entity	IfcContext	IfcObjectDefinition	ObjectType,LongName,Phase,RepresentationContexts,UnitsInContext
entity	IfcContextDependentUnit	IfcNamedUnit	Name
entity	IfcControl	IfcObject	Identification
entity	IfcController	IfcDistributionControlElement	PredefinedType
entity	IfcControllerType	IfcDistributionControlElementType	PredefinedType
entity	IfcConversionBasedUnit	IfcNamedUnit	Name,ConversionFactor
entity	IfcConversionBasedUnitWithOffset	IfcConversionBasedUnit	ConversionOffset
entity	IfcCooledBeam	IfcEnergyConversionDevice	PredefinedType
entity	IfcCooledBeamType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcCoolingTower	IfcEnergyConversionDevice	PredefinedType
entity	IfcCoolingTowerType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcCoordinateOperation	-	SourceCRS,TargetCRS
entity	IfcCoordinateReferenceSystem	-	Name,Description,GeodeticDatum,VerticalDatum
entity	IfcCostItem	IfcControl	PredefinedType,CostValues,CostQuantities
entity	IfcCostSchedule	IfcControl	PredefinedType,Status,SubmittedOn,UpdateDate
entity	IfcCostValue	IfcAppliedValue	-
entity	IfcCovering	IfcBuildingElement	PredefinedType
entity	IfcCoveringType	IfcBuildingElementType	PredefinedType
entity	IfcCrewResource	IfcConstructionResource	PredefinedType
entity	IfcCrewResourceType	IfcConstructionResourceType	PredefinedType
entity	IfcCsgPrimitive3D	IfcGeometricRepresentationItem	Position
entity	IfcCsgSolid	IfcSolidModel	TreeRootExpression
entity	IfcCurrencyRelationship	IfcResourceLevelRelationship	RelatingMonetaryUnit,RelatedMonetaryUnit,ExchangeRate,RateDateTime,RateSource
entity	IfcCurtainWall	IfcBuildingElement	PredefinedType
entity	IfcCurtainWallType	IfcBuildingElementType	PredefinedType
entity	IfcCurve	IfcGeometricRepresentationItem	-
entity	IfcCurveBoundedPlane	IfcBoundedSurface	BasisSurface,OuterBoundary,InnerBoundaries
entity	IfcCurveBoundedSurface	IfcBoundedSurface	BasisSurface,Boundaries,ImplicitOuter
entity	IfcCurveStyle	IfcPresentationStyle	CurveFont,CurveWidth,CurveColour,ModelOrDraughting
entity	IfcCurveStyleFont	IfcPresentationItem	Name,PatternList
entity	IfcCurveStyleFontAndScaling	IfcPresentationItem	Name,CurveFont,CurveFontScaling
entity	IfcCurveStyleFontPattern	IfcPresentationItem	VisibleSegmentLength,InvisibleSegmentLength
entity	IfcCylindricalSurface	IfcElementarySurface	Radius
entity	IfcDamper	IfcFlowController	PredefinedType
entity	IfcDamperType	IfcFlowControllerType	PredefinedType
entity	IfcDerivedProfileDef	IfcProfileDef	ParentProfile,Operator,Label
entity	IfcDerivedUnit	-	Elements,UnitType,UserDefinedType
entity	IfcDerivedUnitElement	-	Unit,Exponent
entity	IfcDimensionalExponents	-	LengthExponent,MassExponent,TimeExponent,ElectricCurrentExponent,ThermodynamicTemperatureExponent,AmountOfSubstanceExponent,LuminousIntensityExponent
